"Statistic Label","Year","County","UNIT","VALUE"
"Social Benefits and Other Current Transfers","2005","Co. Clare","Euro Million","479.1"
"Social Benefits and Other Current Transfers","2005","Co. Cork","Euro Million","2180.99"
"Social Benefits and Other Current Transfers","2005","Co. Donegal","Euro Million","758.76"
"Social Benefits and Other Current Transfers","2005","Co. Dublin","Euro Million","5349.54"
"Social Benefits and Other Current Transfers","2005","Co. Galway","Euro Million","1030.23"
"Social Benefits and Other Current Transfers","2005","Co. Kerry","Euro Million","639.08"
"Social Benefits and Other Current Transfers","2005","Co. Kildare","Euro Million","680.05"
"Social Benefits and Other Current Transfers","2005","Co. Kilkenny","Euro Million","373.58"
"Social Benefits and Other Current Transfers","2005","Co. Laois","Euro Million","270.9"
"Social Benefits and Other Current Transfers","2005","Co. Leitrim","Euro Million","142.71"
"Social Benefits and Other Current Transfers","2005","Co. Limerick","Euro Million","919.35"
"Social Benefits and Other Current Transfers","2005","Co. Longford","Euro Million","179.14"
"Social Benefits and Other Current Transfers","2005","Co. Louth","Euro Million","532.97"
"Social Benefits and Other Current Transfers","2005","Co. Mayo","Euro Million","612.03"
"Social Benefits and Other Current Transfers","2005","Co. Meath","Euro Million","550.74"
"Social Benefits and Other Current Transfers","2005","Co. Monaghan","Euro Million","252.88"
"Social Benefits and Other Current Transfers","2005","Co. Offaly","Euro Million","312.08"
"Social Benefits and Other Current Transfers","2005","Co. Roscommon","Euro Million","263.8"
"Social Benefits and Other Current Transfers","2005","Co. Sligo","Euro Million","293.79"
"Social Benefits and Other Current Transfers","2005","Co. Tipperary","Euro Million","718.78"
"Social Benefits and Other Current Transfers","2005","Co. Waterford","Euro Million","544.06"
"Social Benefits and Other Current Transfers","2005","Co. Westmeath","Euro Million","360.7"
"Social Benefits and Other Current Transfers","2005","Co. Wexford","Euro Million","632.72"
"Social Benefits and Other Current Transfers","2005","Co. Wicklow","Euro Million","526.6"
"Social Benefits and Other Current Transfers","2006","Ireland","Euro Million","21182.39"
"Social Benefits and Other Current Transfers","2006","Co. Carlow","Euro Million","272.65"
"Social Benefits and Other Current Transfers","2006","Co. Cavan","Euro Million","309.33"
"Social Benefits and Other Current Transfers","2006","Co. Clare","Euro Million","533.74"
"Social Benefits and Other Current Transfers","2006","Co. Cork","Euro Million","2406.23"
"Social Benefits and Other Current Transfers","2006","Co. Donegal","Euro Million","838.77"
"Social Benefits and Other Current Transfers","2006","Co. Dublin","Euro Million","5858.13"
"Social Benefits and Other Current Transfers","2006","Co. Galway","Euro Million","1142.97"
"Social Benefits and Other Current Transfers","2006","Co. Kerry","Euro Million","704.26"
"Social Benefits and Other Current Transfers","2006","Co. Kildare","Euro Million","794.83"
"Social Benefits and Other Current Transfers","2006","Co. Kilkenny","Euro Million","414.58"
"Social Benefits and Other Current Transfers","2006","Co. Laois","Euro Million","304.44"
"Social Benefits and Other Current Transfers","2006","Co. Leitrim","Euro Million","158.76"
"Social Benefits and Other Current Transfers","2006","Co. Limerick","Euro Million","1012.79"
"Social Benefits and Other Current Transfers","2006","Co. Longford","Euro Million","200.32"
"Social Benefits and Other Current Transfers","2006","Co. Louth","Euro Million","599.91"
"Social Benefits and Other Current Transfers","2006","Co. Mayo","Euro Million","661.64"
"Social Benefits and Other Current Transfers","2006","Co. Meath","Euro Million","640.49"
"Social Benefits and Other Current Transfers","2006","Co. Monaghan","Euro Million","277.18"
"Social Benefits and Other Current Transfers","2006","Co. Offaly","Euro Million","346.94"
"Social Benefits and Other Current Transfers","2006","Co. Roscommon","Euro Million","288.38"
"Social Benefits and Other Current Transfers","2006","Co. Sligo","Euro Million","320.95"
"Social Benefits and Other Current Transfers","2006","Co. Tipperary","Euro Million","797.25"
"Social Benefits and Other Current Transfers","2006","Co. Waterford","Euro Million","594.26"
"Social Benefits and Other Current Transfers","2006","Co. Westmeath","Euro Million","400.11"
"Social Benefits and Other Current Transfers","2006","Co. Wexford","Euro Million","714.15"
"Social Benefits and Other Current Transfers","2006","Co. Wicklow","Euro Million","589.37"
"Social Benefits and Other Current Transfers","2007","Ireland","Euro Million","22726.96"
"Social Benefits and Other Current Transfers","2007","Co. Carlow","Euro Million","302.38"
"Social Benefits and Other Current Transfers","2007","Co. Cavan","Euro Million","335.63"
"Social Benefits and Other Current Transfers","2007","Co. Clare","Euro Million","575.77"
"Social Benefits and Other Current Transfers","2007","Co. Cork","Euro Million","2569.78"
"Social Benefits and Other Current Transfers","2007","Co. Donegal","Euro Million","907.94"
"Social Benefits and Other Current Transfers","2007","Co. Dublin","Euro Million","6193.97"
"Social Benefits and Other Current Transfers","2007","Co. Galway","Euro Million","1234.31"
"Social Benefits and Other Current Transfers","2007","Co. Kerry","Euro Million","755.97"
"Social Benefits and Other Current Transfers","2007","Co. Kildare","Euro Million","846.65"
"Social Benefits and Other Current Transfers","2007","Co. Kilkenny","Euro Million","445.31"
"Social Benefits and Other Current Transfers","2007","Co. Laois","Euro Million","334.59"
"Social Benefits and Other Current Transfers","2007","Co. Leitrim","Euro Million","172.75"
"Social Benefits and Other Current Transfers","2007","Co. Limerick","Euro Million","1087.2"
"Social Benefits and Other Current Transfers","2007","Co. Longford","Euro Million","218.71"
"Social Benefits and Other Current Transfers","2007","Co. Louth","Euro Million","652.7"
"Social Benefits and Other Current Transfers","2007","Co. Mayo","Euro Million","711.06"
"Social Benefits and Other Current Transfers","2007","Co. Meath","Euro Million","692.47"
"Social Benefits and Other Current Transfers","2007","Co. Monaghan","Euro Million","299.58"
"Social Benefits and Other Current Transfers","2007","Co. Offaly","Euro Million","379.17"
"Social Benefits and Other Current Transfers","2007","Co. Roscommon","Euro Million","313.22"
"Social Benefits and Other Current Transfers","2007","Co. Sligo","Euro Million","349.48"
"Social Benefits and Other Current Transfers","2007","Co. Tipperary","Euro Million","857.22"
"Social Benefits and Other Current Transfers","2007","Co. Waterford","Euro Million","647.18"
"Social Benefits and Other Current Transfers","2007","Co. Westmeath","Euro Million","439.41"
"Social Benefits and Other Current Transfers","2007","Co. Wexford","Euro Million","777.82"
"Social Benefits and Other Current Transfers","2007","Co. Wicklow","Euro Million","626.68"
"Social Benefits and Other Current Transfers","2008","Ireland","Euro Million","25344.51"
"Social Benefits and Other Current Transfers","2008","Co. Carlow","Euro Million","339.42"
"Social Benefits and Other Current Transfers","2008","Co. Cavan","Euro Million","379.27"
"Social Benefits and Other Current Transfers","2008","Co. Clare","Euro Million","643.03"
"Social Benefits and Other Current Transfers","2008","Co. Cork","Euro Million","2831.84"
"Social Benefits and Other Current Transfers","2008","Co. Donegal","Euro Million","1021.65"
"Social Benefits and Other Current Transfers","2008","Co. Dublin","Euro Million","6849.18"
"Social Benefits and Other Current Transfers","2008","Co. Galway","Euro Million","1378.31"
"Social Benefits and Other Current Transfers","2008","Co. Kerry","Euro Million","833.6"
"Social Benefits and Other Current Transfers","2008","Co. Kildare","Euro Million","955.43"
"Social Benefits and Other Current Transfers","2008","Co. Kilkenny","Euro Million","500.31"
"Social Benefits and Other Current Transfers","2008","Co. Laois","Euro Million","384.86"
"Social Benefits and Other Current Transfers","2008","Co. Leitrim","Euro Million","194.62"
"Social Benefits and Other Current Transfers","2008","Co. Limerick","Euro Million","1203.12"
"Social Benefits and Other Current Transfers","2008","Co. Longford","Euro Million","245.53"
"Social Benefits and Other Current Transfers","2008","Co. Louth","Euro Million","739.36"
"Social Benefits and Other Current Transfers","2008","Co. Mayo","Euro Million","793.58"
"Social Benefits and Other Current Transfers","2008","Co. Meath","Euro Million","783.52"
"Social Benefits and Other Current Transfers","2008","Co. Monaghan","Euro Million","339.04"
"Social Benefits and Other Current Transfers","2008","Co. Offaly","Euro Million","425.66"
"Social Benefits and Other Current Transfers","2008","Co. Roscommon","Euro Million","348.09"
"Social Benefits and Other Current Transfers","2008","Co. Sligo","Euro Million","389.19"
"Social Benefits and Other Current Transfers","2008","Co. Tipperary","Euro Million","950.46"
"Social Benefits and Other Current Transfers","2008","Co. Waterford","Euro Million","733.91"
"Social Benefits and Other Current Transfers","2008","Co. Westmeath","Euro Million","492.39"
"Social Benefits and Other Current Transfers","2008","Co. Wexford","Euro Million","883.02"
"Social Benefits and Other Current Transfers","2008","Co. Wicklow","Euro Million","706.1"
"Social Benefits and Other Current Transfers","2009","Ireland","Euro Million","28539.88"
"Social Benefits and Other Current Transfers","2009","Co. Carlow","Euro Million","385.35"
"Social Benefits and Other Current Transfers","2009","Co. Cavan","Euro Million","430.24"
"Social Benefits and Other Current Transfers","2009","Co. Clare","Euro Million","722.39"
"Social Benefits and Other Current Transfers","2009","Co. Cork","Euro Million","3186.97"
"Social Benefits and Other Current Transfers","2009","Co. Donegal","Euro Million","1159.38"
"Social Benefits and Other Current Transfers","2009","Co. Dublin","Euro Million","7608.44"
"Social Benefits and Other Current Transfers","2009","Co. Galway","Euro Million","1561.17"
"Social Benefits and Other Current Transfers","2009","Co. Kerry","Euro Million","940.49"
"Social Benefits and Other Current Transfers","2009","Co. Kildare","Euro Million","1082.07"
"Social Benefits and Other Current Transfers","2009","Co. Kilkenny","Euro Million","567.26"
"Social Benefits and Other Current Transfers","2009","Co. Laois","Euro Million","439.6"
"Social Benefits and Other Current Transfers","2009","Co. Leitrim","Euro Million","221.45"
"Social Benefits and Other Current Transfers","2009","Co. Limerick","Euro Million","1370.67"
"Social Benefits and Other Current Transfers","2009","Co. Longford","Euro Million","281.32"
"Social Benefits and Other Current Transfers","2009","Co. Louth","Euro Million","833.18"
"Social Benefits and Other Current Transfers","2009","Co. Mayo","Euro Million","903.7"
"Social Benefits and Other Current Transfers","2009","Co. Meath","Euro Million","883.91"
"Social Benefits and Other Current Transfers","2009","Co. Monaghan","Euro Million","387.88"
"Social Benefits and Other Current Transfers","2009","Co. Offaly","Euro Million","487.8"
"Social Benefits and Other Current Transfers","2009","Co. Roscommon","Euro Million","389.54"
"Social Benefits and Other Current Transfers","2009","Co. Sligo","Euro Million","431.43"
"Social Benefits and Other Current Transfers","2009","Co. Tipperary","Euro Million","1076.65"
"Social Benefits and Other Current Transfers","2009","Co. Waterford","Euro Million","827.49"
"Social Benefits and Other Current Transfers","2009","Co. Westmeath","Euro Million","567.79"
"Social Benefits and Other Current Transfers","2009","Co. Wexford","Euro Million","1011.7"
"Social Benefits and Other Current Transfers","2009","Co. Wicklow","Euro Million","782.01"
"Social Benefits and Other Current Transfers","2010","Ireland","Euro Million","28087.03"
"Social Benefits and Other Current Transfers","2010","Co. Carlow","Euro Million","396.45"
"Social Benefits and Other Current Transfers","2010","Co. Cavan","Euro Million","430.71"
"Social Benefits and Other Current Transfers","2010","Co. Clare","Euro Million","699.69"
"Social Benefits and Other Current Transfers","2010","Co. Cork","Euro Million","3133.88"
"Social Benefits and Other Current Transfers","2010","Co. Donegal","Euro Million","1130.2"
"Social Benefits and Other Current Transfers","2010","Co. Dublin","Euro Million","7439.85"
"Social Benefits and Other Current Transfers","2010","Co. Galway","Euro Million","1536.65"
"Social Benefits and Other Current Transfers","2010","Co. Kerry","Euro Million","921.33"
"Social Benefits and Other Current Transfers","2010","Co. Kildare","Euro Million","1085.83"
"Social Benefits and Other Current Transfers","2010","Co. Kilkenny","Euro Million","549.81"
"Social Benefits and Other Current Transfers","2010","Co. Laois","Euro Million","436.35"
"Social Benefits and Other Current Transfers","2010","Co. Leitrim","Euro Million","218.84"
"Social Benefits and Other Current Transfers","2010","Co. Limerick","Euro Million","1358.34"
"Social Benefits and Other Current Transfers","2010","Co. Longford","Euro Million","281.93"
"Social Benefits and Other Current Transfers","2010","Co. Louth","Euro Million","833.57"
"Social Benefits and Other Current Transfers","2010","Co. Mayo","Euro Million","878.84"
"Social Benefits and Other Current Transfers","2010","Co. Meath","Euro Million","880.24"
"Social Benefits and Other Current Transfers","2010","Co. Monaghan","Euro Million","375.15"
"Social Benefits and Other Current Transfers","2010","Co. Offaly","Euro Million","484.04"
"Social Benefits and Other Current Transfers","2010","Co. Roscommon","Euro Million","376.74"
"Social Benefits and Other Current Transfers","2010","Co. Sligo","Euro Million","423.61"
"Social Benefits and Other Current Transfers","2010","Co. Tipperary","Euro Million","1067.38"
"Social Benefits and Other Current Transfers","2010","Co. Waterford","Euro Million","809.11"
"Social Benefits and Other Current Transfers","2010","Co. Westmeath","Euro Million","556.87"
"Social Benefits and Other Current Transfers","2010","Co. Wexford","Euro Million","1003.72"
"Social Benefits and Other Current Transfers","2010","Co. Wicklow","Euro Million","777.89"
"Social Benefits and Other Current Transfers","2011","Ireland","Euro Million","27279.8"
"Social Benefits and Other Current Transfers","2011","Co. Carlow","Euro Million","397.66"
"Social Benefits and Other Current Transfers","2011","Co. Cavan","Euro Million","415.07"
"Social Benefits and Other Current Transfers","2011","Co. Clare","Euro Million","677.19"
"Social Benefits and Other Current Transfers","2011","Co. Cork","Euro Million","2977.52"
"Social Benefits and Other Current Transfers","2011","Co. Donegal","Euro Million","1106.26"
"Social Benefits and Other Current Transfers","2011","Co. Dublin","Euro Million","7268.57"
"Social Benefits and Other Current Transfers","2011","Co. Galway","Euro Million","1481.35"
"Social Benefits and Other Current Transfers","2011","Co. Kerry","Euro Million","873.83"
"Social Benefits and Other Current Transfers","2011","Co. Kildare","Euro Million","1066.79"
"Social Benefits and Other Current Transfers","2011","Co. Kilkenny","Euro Million","529.4"
"Social Benefits and Other Current Transfers","2011","Co. Laois","Euro Million","435.42"
"Social Benefits and Other Current Transfers","2011","Co. Leitrim","Euro Million","213.44"
"Social Benefits and Other Current Transfers","2011","Co. Limerick","Euro Million","1325.53"
"Social Benefits and Other Current Transfers","2011","Co. Longford","Euro Million","276.4"
"Social Benefits and Other Current Transfers","2011","Co. Louth","Euro Million","816.33"
"Social Benefits and Other Current Transfers","2011","Co. Mayo","Euro Million","844.54"
"Social Benefits and Other Current Transfers","2011","Co. Meath","Euro Million","858.42"
"Social Benefits and Other Current Transfers","2011","Co. Monaghan","Euro Million","354.87"
"Social Benefits and Other Current Transfers","2011","Co. Offaly","Euro Million","468.86"
"Social Benefits and Other Current Transfers","2011","Co. Roscommon","Euro Million","368.89"
"Social Benefits and Other Current Transfers","2011","Co. Sligo","Euro Million","412.71"
"Social Benefits and Other Current Transfers","2011","Co. Tipperary","Euro Million","1043.37"
"Social Benefits and Other Current Transfers","2011","Co. Waterford","Euro Million","774.09"
"Social Benefits and Other Current Transfers","2011","Co. Westmeath","Euro Million","537.16"
"Social Benefits and Other Current Transfers","2011","Co. Wexford","Euro Million","998.4"
"Social Benefits and Other Current Transfers","2011","Co. Wicklow","Euro Million","757.72"
"Social Benefits and Other Current Transfers","2012","Ireland","Euro Million","28685.01"
"Social Benefits and Other Current Transfers","2012","Co. Carlow","Euro Million","419.49"
"Social Benefits and Other Current Transfers","2012","Co. Cavan","Euro Million","435.36"
"Social Benefits and Other Current Transfers","2012","Co. Clare","Euro Million","707.31"
"Social Benefits and Other Current Transfers","2012","Co. Cork","Euro Million","3086.77"
"Social Benefits and Other Current Transfers","2012","Co. Donegal","Euro Million","1147.32"
"Social Benefits and Other Current Transfers","2012","Co. Dublin","Euro Million","7723.1"
"Social Benefits and Other Current Transfers","2012","Co. Galway","Euro Million","1542.44"
"Social Benefits and Other Current Transfers","2012","Co. Kerry","Euro Million","915.96"
"Social Benefits and Other Current Transfers","2012","Co. Kildare","Euro Million","1146.36"
"Social Benefits and Other Current Transfers","2012","Co. Kilkenny","Euro Million","559.17"
"Social Benefits and Other Current Transfers","2012","Co. Laois","Euro Million","463.86"
"Social Benefits and Other Current Transfers","2012","Co. Leitrim","Euro Million","222.06"
"Social Benefits and Other Current Transfers","2012","Co. Limerick","Euro Million","1375.1"
"Social Benefits and Other Current Transfers","2012","Co. Longford","Euro Million","291.19"
"Social Benefits and Other Current Transfers","2012","Co. Louth","Euro Million","869.26"
"Social Benefits and Other Current Transfers","2012","Co. Mayo","Euro Million","872.99"
"Social Benefits and Other Current Transfers","2012","Co. Meath","Euro Million","896.11"
"Social Benefits and Other Current Transfers","2012","Co. Monaghan","Euro Million","375.02"
"Social Benefits and Other Current Transfers","2012","Co. Offaly","Euro Million","493.55"
"Social Benefits and Other Current Transfers","2012","Co. Roscommon","Euro Million","382.46"
"Social Benefits and Other Current Transfers","2012","Co. Sligo","Euro Million","432.42"
"Social Benefits and Other Current Transfers","2012","Co. Tipperary","Euro Million","1095.19"
"Social Benefits and Other Current Transfers","2012","Co. Waterford","Euro Million","814.64"
"Social Benefits and Other Current Transfers","2012","Co. Westmeath","Euro Million","567.78"
"Social Benefits and Other Current Transfers","2012","Co. Wexford","Euro Million","1044.24"
"Social Benefits and Other Current Transfers","2012","Co. Wicklow","Euro Million","805.87"
"Social Benefits and Other Current Transfers","2013","Ireland","Euro Million","28339.99"
"Social Benefits and Other Current Transfers","2013","Co. Carlow","Euro Million","410.24"
"Social Benefits and Other Current Transfers","2013","Co. Cavan","Euro Million","429.91"
"Social Benefits and Other Current Transfers","2013","Co. Clare","Euro Million","693.02"
"Social Benefits and Other Current Transfers","2013","Co. Cork","Euro Million","3048.44"
"Social Benefits and Other Current Transfers","2013","Co. Donegal","Euro Million","1126.3"
"Social Benefits and Other Current Transfers","2013","Co. Dublin","Euro Million","7611.23"
"Social Benefits and Other Current Transfers","2013","Co. Galway","Euro Million","1526.03"
"Social Benefits and Other Current Transfers","2013","Co. Kerry","Euro Million","907.35"
"Social Benefits and Other Current Transfers","2013","Co. Kildare","Euro Million","1133.36"
"Social Benefits and Other Current Transfers","2013","Co. Kilkenny","Euro Million","551.98"
"Social Benefits and Other Current Transfers","2013","Co. Laois","Euro Million","467.15"
"Social Benefits and Other Current Transfers","2013","Co. Leitrim","Euro Million","218.13"
"Social Benefits and Other Current Transfers","2013","Co. Limerick","Euro Million","1341.3"
"Social Benefits and Other Current Transfers","2013","Co. Longford","Euro Million","289.8"
"Social Benefits and Other Current Transfers","2013","Co. Louth","Euro Million","863.07"
"Social Benefits and Other Current Transfers","2013","Co. Mayo","Euro Million","861.78"
"Social Benefits and Other Current Transfers","2013","Co. Meath","Euro Million","883.65"
"Social Benefits and Other Current Transfers","2013","Co. Monaghan","Euro Million","371.71"
"Social Benefits and Other Current Transfers","2013","Co. Offaly","Euro Million","494.82"
"Social Benefits and Other Current Transfers","2013","Co. Roscommon","Euro Million","381.06"
"Social Benefits and Other Current Transfers","2013","Co. Sligo","Euro Million","426.99"
"Social Benefits and Other Current Transfers","2013","Co. Tipperary","Euro Million","1085.76"
"Social Benefits and Other Current Transfers","2013","Co. Waterford","Euro Million","805.84"
"Social Benefits and Other Current Transfers","2013","Co. Westmeath","Euro Million","571.49"
"Social Benefits and Other Current Transfers","2013","Co. Wexford","Euro Million","1033.95"
"Social Benefits and Other Current Transfers","2013","Co. Wicklow","Euro Million","805.63"
"Social Benefits and Other Current Transfers","2014","Ireland","Euro Million","26943.41"
"Social Benefits and Other Current Transfers","2014","Co. Carlow","Euro Million","390.05"
"Social Benefits and Other Current Transfers","2014","Co. Cavan","Euro Million","410.38"
"Social Benefits and Other Current Transfers","2014","Co. Clare","Euro Million","661.21"
"Social Benefits and Other Current Transfers","2014","Co. Cork","Euro Million","2902.18"
"Social Benefits and Other Current Transfers","2014","Co. Donegal","Euro Million","1070.85"
"Social Benefits and Other Current Transfers","2014","Co. Dublin","Euro Million","7215.6"
"Social Benefits and Other Current Transfers","2014","Co. Galway","Euro Million","1456.33"
"Social Benefits and Other Current Transfers","2014","Co. Kerry","Euro Million","858.45"
"Social Benefits and Other Current Transfers","2014","Co. Kildare","Euro Million","1077.5"
"Social Benefits and Other Current Transfers","2014","Co. Kilkenny","Euro Million","527.56"
"Social Benefits and Other Current Transfers","2014","Co. Laois","Euro Million","448.72"
"Social Benefits and Other Current Transfers","2014","Co. Leitrim","Euro Million","206.32"
"Social Benefits and Other Current Transfers","2014","Co. Limerick","Euro Million","1271.19"
"Social Benefits and Other Current Transfers","2014","Co. Longford","Euro Million","275.33"
"Social Benefits and Other Current Transfers","2014","Co. Louth","Euro Million","812.27"
"Social Benefits and Other Current Transfers","2014","Co. Mayo","Euro Million","810.02"
"Social Benefits and Other Current Transfers","2014","Co. Meath","Euro Million","850.48"
"Social Benefits and Other Current Transfers","2014","Co. Monaghan","Euro Million","349.62"
"Social Benefits and Other Current Transfers","2014","Co. Offaly","Euro Million","473.78"
"Social Benefits and Other Current Transfers","2014","Co. Roscommon","Euro Million","366.41"
"Social Benefits and Other Current Transfers","2014","Co. Sligo","Euro Million","406.41"
"Social Benefits and Other Current Transfers","2014","Co. Tipperary","Euro Million","1030.09"
"Social Benefits and Other Current Transfers","2014","Co. Waterford","Euro Million","771.48"
"Social Benefits and Other Current Transfers","2014","Co. Westmeath","Euro Million","546.24"
"Social Benefits and Other Current Transfers","2014","Co. Wexford","Euro Million","983.15"
"Social Benefits and Other Current Transfers","2014","Co. Wicklow","Euro Million","771.78"
"Social Benefits and Other Current Transfers","2015","Ireland","Euro Million","27077.11"
"Social Benefits and Other Current Transfers","2015","Co. Carlow","Euro Million","393.74"
"Social Benefits and Other Current Transfers","2015","Co. Cavan","Euro Million","411.99"
"Social Benefits and Other Current Transfers","2015","Co. Clare","Euro Million","658.81"
"Social Benefits and Other Current Transfers","2015","Co. Cork","Euro Million","2915.04"
"Social Benefits and Other Current Transfers","2015","Co. Donegal","Euro Million","1057.63"
"Social Benefits and Other Current Transfers","2015","Co. Dublin","Euro Million","7299.26"
"Social Benefits and Other Current Transfers","2015","Co. Galway","Euro Million","1457.35"
"Social Benefits and Other Current Transfers","2015","Co. Kerry","Euro Million","864.89"
"Social Benefits and Other Current Transfers","2015","Co. Kildare","Euro Million","1081.86"
"Social Benefits and Other Current Transfers","2015","Co. Kilkenny","Euro Million","527.32"
"Social Benefits and Other Current Transfers","2015","Co. Laois","Euro Million","449.35"
"Social Benefits and Other Current Transfers","2015","Co. Leitrim","Euro Million","207.05"
"Social Benefits and Other Current Transfers","2015","Co. Limerick","Euro Million","1277.04"
"Social Benefits and Other Current Transfers","2015","Co. Longford","Euro Million","272.92"
"Social Benefits and Other Current Transfers","2015","Co. Louth","Euro Million","813.91"
"Social Benefits and Other Current Transfers","2015","Co. Mayo","Euro Million","815.06"
"Social Benefits and Other Current Transfers","2015","Co. Meath","Euro Million","852.93"
"Social Benefits and Other Current Transfers","2015","Co. Monaghan","Euro Million","345.25"
"Social Benefits and Other Current Transfers","2015","Co. Offaly","Euro Million","474.05"
"Social Benefits and Other Current Transfers","2015","Co. Roscommon","Euro Million","368.53"
"Social Benefits and Other Current Transfers","2015","Co. Sligo","Euro Million","410.9"
"Social Benefits and Other Current Transfers","2015","Co. Tipperary","Euro Million","1033.11"
"Social Benefits and Other Current Transfers","2015","Co. Waterford","Euro Million","770.33"
"Social Benefits and Other Current Transfers","2015","Co. Westmeath","Euro Million","549.06"
"Social Benefits and Other Current Transfers","2015","Co. Wexford","Euro Million","987.3"
"Social Benefits and Other Current Transfers","2015","Co. Wicklow","Euro Million","782.45"
"Social Benefits and Other Current Transfers","2016","Ireland","Euro Million","27042.66"
"Social Benefits and Other Current Transfers","2016","Co. Carlow","Euro Million","388.75"
"Social Benefits and Other Current Transfers","2016","Co. Cavan","Euro Million","413.58"
"Social Benefits and Other Current Transfers","2016","Co. Clare","Euro Million","653.84"
"Social Benefits and Other Current Transfers","2016","Co. Cork","Euro Million","2703.66"
"Social Benefits and Other Current Transfers","2016","Co. Donegal","Euro Million","1036.54"
"Social Benefits and Other Current Transfers","2016","Co. Dublin","Euro Million","7324.3"
"Social Benefits and Other Current Transfers","2016","Co. Galway","Euro Million","1442.74"
"Social Benefits and Other Current Transfers","2016","Co. Kerry","Euro Million","978.43"
"Social Benefits and Other Current Transfers","2016","Co. Kildare","Euro Million","1095.98"
"Social Benefits and Other Current Transfers","2016","Co. Kilkenny","Euro Million","525.76"
"Social Benefits and Other Current Transfers","2016","Co. Laois","Euro Million","446.45"
"Social Benefits and Other Current Transfers","2016","Co. Leitrim","Euro Million","207.31"
"Social Benefits and Other Current Transfers","2016","Co. Limerick","Euro Million","1237.91"
"Social Benefits and Other Current Transfers","2016","Co. Longford","Euro Million","272.26"
"Social Benefits and Other Current Transfers","2016","Co. Louth","Euro Million","811.85"
"Social Benefits and Other Current Transfers","2016","Co. Mayo","Euro Million","812.77"
"Social Benefits and Other Current Transfers","2016","Co. Meath","Euro Million","868"
"Social Benefits and Other Current Transfers","2016","Co. Monaghan","Euro Million","340.85"
"Social Benefits and Other Current Transfers","2016","Co. Offaly","Euro Million","468.91"
"Social Benefits and Other Current Transfers","2016","Co. Roscommon","Euro Million","367.52"
"Social Benefits and Other Current Transfers","2016","Co. Sligo","Euro Million","410.58"
"Social Benefits and Other Current Transfers","2016","Co. Tipperary","Euro Million","1162.99"
"Social Benefits and Other Current Transfers","2016","Co. Waterford","Euro Million","760.95"
"Social Benefits and Other Current Transfers","2016","Co. Westmeath","Euro Million","546.11"
"Social Benefits and Other Current Transfers","2016","Co. Wexford","Euro Million","976.25"
"Social Benefits and Other Current Transfers","2016","Co. Wicklow","Euro Million","788.39"
"Social Benefits and Other Current Transfers","2017","Ireland","Euro Million","27655.67"
"Social Benefits and Other Current Transfers","2017","Co. Carlow","Euro Million","395.84"
"Social Benefits and Other Current Transfers","2017","Co. Cavan","Euro Million","426.42"
"Social Benefits and Other Current Transfers","2017","Co. Clare","Euro Million","679.58"
"Social Benefits and Other Current Transfers","2017","Co. Cork","Euro Million","2766.4"
"Social Benefits and Other Current Transfers","2017","Co. Donegal","Euro Million","1068.27"
"Social Benefits and Other Current Transfers","2017","Co. Dublin","Euro Million","7389.78"
"Social Benefits and Other Current Transfers","2017","Co. Galway","Euro Million","1481.16"
"Social Benefits and Other Current Transfers","2017","Co. Kerry","Euro Million","999.77"
"Social Benefits and Other Current Transfers","2017","Co. Kildare","Euro Million","1104.36"
"Social Benefits and Other Current Transfers","2017","Co. Kilkenny","Euro Million","549.23"
"Social Benefits and Other Current Transfers","2017","Co. Laois","Euro Million","461.48"
"Social Benefits and Other Current Transfers","2017","Co. Leitrim","Euro Million","212.94"
"Social Benefits and Other Current Transfers","2017","Co. Limerick","Euro Million","1279.97"
"Social Benefits and Other Current Transfers","2017","Co. Longford","Euro Million","288.25"
"Social Benefits and Other Current Transfers","2017","Co. Louth","Euro Million","829.48"
"Social Benefits and Other Current Transfers","2017","Co. Mayo","Euro Million","834.69"
"Social Benefits and Other Current Transfers","2017","Co. Meath","Euro Million","916.89"
"Social Benefits and Other Current Transfers","2017","Co. Monaghan","Euro Million","357.64"
"Social Benefits and Other Current Transfers","2017","Co. Offaly","Euro Million","476.3"
"Social Benefits and Other Current Transfers","2017","Co. Roscommon","Euro Million","392.59"
"Social Benefits and Other Current Transfers","2017","Co. Sligo","Euro Million","439.57"
"Social Benefits and Other Current Transfers","2017","Co. Tipperary","Euro Million","1156.68"
"Social Benefits and Other Current Transfers","2017","Co. Waterford","Euro Million","803.02"
"Social Benefits and Other Current Transfers","2017","Co. Westmeath","Euro Million","561.25"
"Social Benefits and Other Current Transfers","2017","Co. Wexford","Euro Million","980.65"
"Social Benefits and Other Current Transfers","2017","Co. Wicklow","Euro Million","803.48"
"Social Benefits and Other Current Transfers","2018","Ireland","Euro Million","27728.91"
"Social Benefits and Other Current Transfers","2018","Co. Carlow","Euro Million","396.7"
"Social Benefits and Other Current Transfers","2018","Co. Cavan","Euro Million","422.42"
"Social Benefits and Other Current Transfers","2018","Co. Clare","Euro Million","680.21"
"Social Benefits and Other Current Transfers","2018","Co. Cork","Euro Million","2951.79"
"Social Benefits and Other Current Transfers","2018","Co. Donegal","Euro Million","1071.93"
"Social Benefits and Other Current Transfers","2018","Co. Dublin","Euro Million","7477.16"
"Social Benefits and Other Current Transfers","2018","Co. Galway","Euro Million","1476.53"
