"Statistic Label","Sex","Industry","Province County or City","CensusYear","UNIT","VALUE"
"Population 15 years and over at work","Both sexes","Banking and financial services","Kildare","2002","Number","3337"
"Population 15 years and over at work","Both sexes","Banking and financial services","Kildare","2006","Number","4088"
"Population 15 years and over at work","Both sexes","Banking and financial services","Kildare","2011","Number","4719"
"Population 15 years and over at work","Both sexes","Banking and financial services","Kildare","2016","Number","4796"
"Population 15 years and over at work","Both sexes","Banking and financial services","Kilkenny","2002","Number","954"
"Population 15 years and over at work","Both sexes","Banking and financial services","Kilkenny","2006","Number","1387"
"Population 15 years and over at work","Both sexes","Banking and financial services","Kilkenny","2011","Number","1659"
"Population 15 years and over at work","Both sexes","Banking and financial services","Kilkenny","2016","Number","1901"
"Population 15 years and over at work","Both sexes","Banking and financial services","Laois","2002","Number","594"
"Population 15 years and over at work","Both sexes","Banking and financial services","Laois","2006","Number","813"
"Population 15 years and over at work","Both sexes","Banking and financial services","Laois","2011","Number","991"
"Population 15 years and over at work","Both sexes","Banking and financial services","Laois","2016","Number","906"
"Population 15 years and over at work","Both sexes","Banking and financial services","Longford","2002","Number","238"
"Population 15 years and over at work","Both sexes","Banking and financial services","Longford","2006","Number","327"
"Population 15 years and over at work","Both sexes","Banking and financial services","Longford","2011","Number","333"
"Population 15 years and over at work","Both sexes","Banking and financial services","Longford","2016","Number","269"
"Population 15 years and over at work","Both sexes","Banking and financial services","Louth","2002","Number","1283"
"Population 15 years and over at work","Both sexes","Banking and financial services","Louth","2006","Number","1657"
"Population 15 years and over at work","Both sexes","Banking and financial services","Louth","2011","Number","1766"
"Population 15 years and over at work","Both sexes","Banking and financial services","Louth","2016","Number","2455"
"Population 15 years and over at work","Both sexes","Banking and financial services","Meath","2002","Number","2473"
"Population 15 years and over at work","Both sexes","Banking and financial services","Meath","2006","Number","3423"
"Population 15 years and over at work","Both sexes","Banking and financial services","Meath","2011","Number","3966"
"Population 15 years and over at work","Both sexes","Banking and financial services","Meath","2016","Number","3826"
"Population 15 years and over at work","Both sexes","Banking and financial services","Offaly","2002","Number","569"
"Population 15 years and over at work","Both sexes","Banking and financial services","Offaly","2006","Number","685"
"Population 15 years and over at work","Both sexes","Banking and financial services","Offaly","2011","Number","719"
"Population 15 years and over at work","Both sexes","Banking and financial services","Offaly","2016","Number","628"
"Population 15 years and over at work","Both sexes","Banking and financial services","Westmeath","2002","Number","807"
"Population 15 years and over at work","Both sexes","Banking and financial services","Westmeath","2006","Number","969"
"Population 15 years and over at work","Both sexes","Banking and financial services","Westmeath","2011","Number","983"
"Population 15 years and over at work","Both sexes","Banking and financial services","Westmeath","2016","Number","898"
"Population 15 years and over at work","Both sexes","Banking and financial services","Wexford","2002","Number","1302"
"Population 15 years and over at work","Both sexes","Banking and financial services","Wexford","2006","Number","1723"
"Population 15 years and over at work","Both sexes","Banking and financial services","Wexford","2011","Number","1978"
"Population 15 years and over at work","Both sexes","Banking and financial services","Wexford","2016","Number","1873"
"Population 15 years and over at work","Both sexes","Banking and financial services","Wicklow","2002","Number","2383"
"Population 15 years and over at work","Both sexes","Banking and financial services","Wicklow","2006","Number","3181"
"Population 15 years and over at work","Both sexes","Banking and financial services","Wicklow","2011","Number","3496"
"Population 15 years and over at work","Both sexes","Banking and financial services","Wicklow","2016","Number","3177"
"Population 15 years and over at work","Both sexes","Banking and financial services","Munster","2002","Number","11960"
"Population 15 years and over at work","Both sexes","Banking and financial services","Munster","2006","Number","13152"
"Population 15 years and over at work","Both sexes","Banking and financial services","Munster","2011","Number","14458"
"Population 15 years and over at work","Both sexes","Banking and financial services","Munster","2016","Number","13378"
"Population 15 years and over at work","Both sexes","Banking and financial services","Clare","2002","Number","1247"
"Population 15 years and over at work","Both sexes","Banking and financial services","Clare","2006","Number","1406"
"Population 15 years and over at work","Both sexes","Banking and financial services","Clare","2011","Number","1529"
"Population 15 years and over at work","Both sexes","Banking and financial services","Clare","2016","Number","1381"
"Population 15 years and over at work","Both sexes","Banking and financial services","Cork","2002","Number","5183"
"Population 15 years and over at work","Both sexes","Banking and financial services","Cork","2006","Number","5650"
"Population 15 years and over at work","Both sexes","Banking and financial services","Cork","2011","Number","6379"
"Population 15 years and over at work","Both sexes","Banking and financial services","Cork","2016","Number","5715"
"Population 15 years and over at work","Both sexes","Banking and financial services","Cork City","2002","Number","1351"
"Population 15 years and over at work","Both sexes","Banking and financial services","Cork City","2006","Number","1198"
"Population 15 years and over at work","Both sexes","Banking and financial services","Cork City","2011","Number","1167"
"Population 15 years and over at work","Both sexes","Banking and financial services","Cork City","2016","Number","1077"
"Population 15 years and over at work","Both sexes","Banking and financial services","Cork County","2002","Number","3832"
"Population 15 years and over at work","Both sexes","Banking and financial services","Cork County","2006","Number","4452"
"Population 15 years and over at work","Both sexes","Banking and financial services","Cork County","2011","Number","5212"
"Population 15 years and over at work","Both sexes","Banking and financial services","Cork County","2016","Number","4638"
"Population 15 years and over at work","Both sexes","Banking and financial services","Kerry","2002","Number","1498"
"Population 15 years and over at work","Both sexes","Banking and financial services","Kerry","2006","Number","1547"
"Population 15 years and over at work","Both sexes","Banking and financial services","Kerry","2011","Number","1752"
"Population 15 years and over at work","Both sexes","Banking and financial services","Kerry","2016","Number","1697"
"Population 15 years and over at work","Both sexes","Banking and financial services","Limerick","2002","Number","1853"
"Population 15 years and over at work","Both sexes","Banking and financial services","Limerick","2006","Number","1964"
"Population 15 years and over at work","Both sexes","Banking and financial services","Limerick","2011","Number","2038"
"Population 15 years and over at work","Both sexes","Banking and financial services","Limerick","2016","Number","2045"
"Population 15 years and over at work","Both sexes","Banking and financial services","Limerick City","2002","Number","527"
"Population 15 years and over at work","Both sexes","Banking and financial services","Limerick City","2006","Number","474"
"Population 15 years and over at work","Both sexes","Banking and financial services","Limerick City","2011","Number","521"
"Population 15 years and over at work","Both sexes","Banking and financial services","Limerick City","2016","Number",""
"Population 15 years and over at work","Both sexes","Banking and financial services","Limerick County","2002","Number","1326"
"Population 15 years and over at work","Both sexes","Banking and financial services","Limerick County","2006","Number","1490"
"Population 15 years and over at work","Both sexes","Banking and financial services","Limerick County","2011","Number","1517"
"Population 15 years and over at work","Both sexes","Banking and financial services","Limerick County","2016","Number",""
"Population 15 years and over at work","Both sexes","Banking and financial services","Tipperary","2002","Number","1264"
"Population 15 years and over at work","Both sexes","Banking and financial services","Tipperary","2006","Number","1451"
"Population 15 years and over at work","Both sexes","Banking and financial services","Tipperary","2011","Number","1517"
"Population 15 years and over at work","Both sexes","Banking and financial services","Tipperary","2016","Number","1376"
"Population 15 years and over at work","Both sexes","Banking and financial services","North Tipperary","2002","Number","569"
"Population 15 years and over at work","Both sexes","Banking and financial services","North Tipperary","2006","Number","725"
"Population 15 years and over at work","Both sexes","Banking and financial services","North Tipperary","2011","Number","737"
"Population 15 years and over at work","Both sexes","Banking and financial services","North Tipperary","2016","Number",""
"Population 15 years and over at work","Both sexes","Banking and financial services","South Tipperary","2002","Number","695"
"Population 15 years and over at work","Both sexes","Banking and financial services","South Tipperary","2006","Number","726"
"Population 15 years and over at work","Both sexes","Banking and financial services","South Tipperary","2011","Number","780"
"Population 15 years and over at work","Both sexes","Banking and financial services","South Tipperary","2016","Number",""
"Population 15 years and over at work","Both sexes","Banking and financial services","Waterford","2002","Number","915"
"Population 15 years and over at work","Both sexes","Banking and financial services","Waterford","2006","Number","1134"
"Population 15 years and over at work","Both sexes","Banking and financial services","Waterford","2011","Number","1243"
"Population 15 years and over at work","Both sexes","Banking and financial services","Waterford","2016","Number","1164"
"Population 15 years and over at work","Both sexes","Banking and financial services","Waterford City","2002","Number","426"
"Population 15 years and over at work","Both sexes","Banking and financial services","Waterford City","2006","Number","477"
"Population 15 years and over at work","Both sexes","Banking and financial services","Waterford City","2011","Number","565"
"Population 15 years and over at work","Both sexes","Banking and financial services","Waterford City","2016","Number",""
"Population 15 years and over at work","Both sexes","Banking and financial services","Waterford County","2002","Number","489"
"Population 15 years and over at work","Both sexes","Banking and financial services","Waterford County","2006","Number","657"
"Population 15 years and over at work","Both sexes","Banking and financial services","Waterford County","2011","Number","678"
"Population 15 years and over at work","Both sexes","Banking and financial services","Waterford County","2016","Number",""
"Population 15 years and over at work","Both sexes","Banking and financial services","Connacht","2002","Number","4611"
"Population 15 years and over at work","Both sexes","Banking and financial services","Connacht","2006","Number","5977"
"Population 15 years and over at work","Both sexes","Banking and financial services","Connacht","2011","Number","5650"
"Population 15 years and over at work","Both sexes","Banking and financial services","Connacht","2016","Number","4821"
"Population 15 years and over at work","Both sexes","Banking and financial services","Galway","2002","Number","2173"
"Population 15 years and over at work","Both sexes","Banking and financial services","Galway","2006","Number","2899"
"Population 15 years and over at work","Both sexes","Banking and financial services","Galway","2011","Number","3076"
"Population 15 years and over at work","Both sexes","Banking and financial services","Galway","2016","Number","2718"
"Population 15 years and over at work","Both sexes","Banking and financial services","Galway City","2002","Number","932"
"Population 15 years and over at work","Both sexes","Banking and financial services","Galway City","2006","Number","1163"
"Population 15 years and over at work","Both sexes","Banking and financial services","Galway City","2011","Number","1205"
"Population 15 years and over at work","Both sexes","Banking and financial services","Galway City","2016","Number","1034"
"Population 15 years and over at work","Both sexes","Banking and financial services","Galway County","2002","Number","1241"
"Population 15 years and over at work","Both sexes","Banking and financial services","Galway County","2006","Number","1736"
"Population 15 years and over at work","Both sexes","Banking and financial services","Galway County","2011","Number","1871"
"Population 15 years and over at work","Both sexes","Banking and financial services","Galway County","2016","Number","1684"
"Population 15 years and over at work","Both sexes","Banking and financial services","Leitrim","2002","Number","382"
"Population 15 years and over at work","Both sexes","Banking and financial services","Leitrim","2006","Number","569"
"Population 15 years and over at work","Both sexes","Banking and financial services","Leitrim","2011","Number","332"
"Population 15 years and over at work","Both sexes","Banking and financial services","Leitrim","2016","Number","285"
"Population 15 years and over at work","Both sexes","Banking and financial services","Mayo","2002","Number","910"
"Population 15 years and over at work","Both sexes","Banking and financial services","Mayo","2006","Number","1040"
"Population 15 years and over at work","Both sexes","Banking and financial services","Mayo","2011","Number","1018"
"Population 15 years and over at work","Both sexes","Banking and financial services","Mayo","2016","Number","797"
"Population 15 years and over at work","Both sexes","Banking and financial services","Roscommon","2002","Number","574"
"Population 15 years and over at work","Both sexes","Banking and financial services","Roscommon","2006","Number","800"
"Population 15 years and over at work","Both sexes","Banking and financial services","Roscommon","2011","Number","658"
"Population 15 years and over at work","Both sexes","Banking and financial services","Roscommon","2016","Number","561"
"Population 15 years and over at work","Both sexes","Banking and financial services","Sligo","2002","Number","572"
"Population 15 years and over at work","Both sexes","Banking and financial services","Sligo","2006","Number","669"
"Population 15 years and over at work","Both sexes","Banking and financial services","Sligo","2011","Number","566"
"Population 15 years and over at work","Both sexes","Banking and financial services","Sligo","2016","Number","460"
"Population 15 years and over at work","Both sexes","Banking and financial services","Ulster (part of)","2002","Number","2252"
"Population 15 years and over at work","Both sexes","Banking and financial services","Ulster (part of)","2006","Number","3041"
"Population 15 years and over at work","Both sexes","Banking and financial services","Ulster (part of)","2011","Number","3239"
"Population 15 years and over at work","Both sexes","Banking and financial services","Ulster (part of)","2016","Number","2871"
"Population 15 years and over at work","Both sexes","Banking and financial services","Cavan","2002","Number","738"
"Population 15 years and over at work","Both sexes","Banking and financial services","Cavan","2006","Number","1047"
"Population 15 years and over at work","Both sexes","Banking and financial services","Cavan","2011","Number","953"
"Population 15 years and over at work","Both sexes","Banking and financial services","Cavan","2016","Number","805"
"Population 15 years and over at work","Both sexes","Banking and financial services","Donegal","2002","Number","1125"
"Population 15 years and over at work","Both sexes","Banking and financial services","Donegal","2006","Number","1503"
"Population 15 years and over at work","Both sexes","Banking and financial services","Donegal","2011","Number","1769"
"Population 15 years and over at work","Both sexes","Banking and financial services","Donegal","2016","Number","1603"
"Population 15 years and over at work","Both sexes","Banking and financial services","Monaghan","2002","Number","389"
"Population 15 years and over at work","Both sexes","Banking and financial services","Monaghan","2006","Number","491"
"Population 15 years and over at work","Both sexes","Banking and financial services","Monaghan","2011","Number","517"
"Population 15 years and over at work","Both sexes","Banking and financial services","Monaghan","2016","Number","463"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","State","2002","Number","151107"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","State","2006","Number","180973"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","State","2011","Number","184251"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","State","2016","Number","193642"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Leinster","2002","Number","101975"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Leinster","2006","Number","120397"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Leinster","2011","Number","121997"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Leinster","2016","Number","124186"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Carlow","2002","Number","1114"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Carlow","2006","Number","1312"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Carlow","2011","Number","1408"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Carlow","2016","Number","1760"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Dublin","2002","Number","71977"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Dublin","2006","Number","82071"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Dublin","2011","Number","82887"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Dublin","2016","Number","79844"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Dublin City","2002","Number","33131"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Dublin City","2006","Number","37522"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Dublin City","2011","Number","37582"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Dublin City","2016","Number","36443"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Dún Laoghaire-Rathdown","2002","Number","15319"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Dún Laoghaire-Rathdown","2006","Number","16426"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Dún Laoghaire-Rathdown","2011","Number","16944"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Dún Laoghaire-Rathdown","2016","Number","15878"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Fingal","2002","Number","11365"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Fingal","2006","Number","15290"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Fingal","2011","Number","15869"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Fingal","2016","Number","14895"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","South Dublin","2002","Number","12162"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","South Dublin","2006","Number","12833"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","South Dublin","2011","Number","12492"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","South Dublin","2016","Number","12628"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Kildare","2002","Number","6564"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Kildare","2006","Number","8271"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Kildare","2011","Number","8663"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Kildare","2016","Number","9202"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Kilkenny","2002","Number","1768"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Kilkenny","2006","Number","2397"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Kilkenny","2011","Number","2449"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Kilkenny","2016","Number","3170"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Laois","2002","Number","1298"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Laois","2006","Number","1735"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Laois","2011","Number","2004"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Laois","2016","Number","2360"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Longford","2002","Number","600"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Longford","2006","Number","814"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Longford","2011","Number","854"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Longford","2016","Number","932"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Louth","2002","Number","2956"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Louth","2006","Number","3881"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Louth","2011","Number","3625"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Louth","2016","Number","4138"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Meath","2002","Number","4775"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Meath","2006","Number","6609"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Meath","2011","Number","6863"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Meath","2016","Number","7486"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Offaly","2002","Number","1267"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Offaly","2006","Number","1525"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Offaly","2011","Number","1593"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Offaly","2016","Number","1938"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Westmeath","2002","Number","1949"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Westmeath","2006","Number","2311"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Westmeath","2011","Number","2287"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Westmeath","2016","Number","2561"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Wexford","2002","Number","2671"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Wexford","2006","Number","3337"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Wexford","2011","Number","3276"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Wexford","2016","Number","4454"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Wicklow","2002","Number","5036"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Wicklow","2006","Number","6134"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Wicklow","2011","Number","6088"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Wicklow","2016","Number","6341"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Munster","2002","Number","33546"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Munster","2006","Number","40149"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Munster","2011","Number","40225"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Munster","2016","Number","46549"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Clare","2002","Number","3099"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Clare","2006","Number","3747"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Clare","2011","Number","3496"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Clare","2016","Number","3904"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Cork","2002","Number","15964"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Cork","2006","Number","19772"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Cork","2011","Number","20618"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Cork","2016","Number","23191"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Cork City","2002","Number","5058"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Cork City","2006","Number","5680"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Cork City","2011","Number","5491"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Cork City","2016","Number","6127"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Cork County","2002","Number","10906"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Cork County","2006","Number","14092"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Cork County","2011","Number","15127"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Cork County","2016","Number","17064"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Kerry","2002","Number","2668"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Kerry","2006","Number","3355"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Kerry","2011","Number","3471"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Kerry","2016","Number","4371"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Limerick","2002","Number","6345"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Limerick","2006","Number","6496"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Limerick","2011","Number","5941"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Limerick","2016","Number","6588"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Limerick City","2002","Number","2421"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Limerick City","2006","Number","2220"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Limerick City","2011","Number","1946"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Limerick City","2016","Number",""
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Limerick County","2002","Number","3924"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Limerick County","2006","Number","4276"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Limerick County","2011","Number","3995"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Limerick County","2016","Number",""
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Tipperary","2002","Number","2660"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Tipperary","2006","Number","3286"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Tipperary","2011","Number","3410"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Tipperary","2016","Number","4340"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","North Tipperary","2002","Number","1110"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","North Tipperary","2006","Number","1540"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","North Tipperary","2011","Number","1542"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","North Tipperary","2016","Number",""
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","South Tipperary","2002","Number","1550"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","South Tipperary","2006","Number","1746"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","South Tipperary","2011","Number","1868"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","South Tipperary","2016","Number",""
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Waterford","2002","Number","2810"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Waterford","2006","Number","3493"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Waterford","2011","Number","3289"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Waterford","2016","Number","4155"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Waterford City","2002","Number","1486"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Waterford City","2006","Number","1706"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Waterford City","2011","Number","1518"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Waterford City","2016","Number",""
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Waterford County","2002","Number","1324"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Waterford County","2006","Number","1787"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Waterford County","2011","Number","1771"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Waterford County","2016","Number",""
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Connacht","2002","Number","11387"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Connacht","2006","Number","14655"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Connacht","2011","Number","15865"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Connacht","2016","Number","15889"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Galway","2002","Number","6361"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Galway","2006","Number","8259"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Galway","2011","Number","8860"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Galway","2016","Number","8180"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Galway City","2002","Number","3041"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Galway City","2006","Number","3731"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Galway City","2011","Number","3593"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Galway City","2016","Number","2943"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Galway County","2002","Number","3320"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Galway County","2006","Number","4528"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Galway County","2011","Number","5267"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Galway County","2016","Number","5237"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Leitrim","2002","Number","435"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Leitrim","2006","Number","686"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Leitrim","2011","Number","921"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Leitrim","2016","Number","884"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Mayo","2002","Number","2326"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Mayo","2006","Number","2788"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Mayo","2011","Number","2931"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Mayo","2016","Number","3308"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Roscommon","2002","Number","1027"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Roscommon","2006","Number","1352"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Roscommon","2011","Number","1576"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Roscommon","2016","Number","1706"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Sligo","2002","Number","1238"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Sligo","2006","Number","1570"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Sligo","2011","Number","1577"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Sligo","2016","Number","1811"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Ulster (part of)","2002","Number","4199"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Ulster (part of)","2006","Number","5772"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Ulster (part of)","2011","Number","6164"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Ulster (part of)","2016","Number","7018"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Cavan","2002","Number","956"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Cavan","2006","Number","1370"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Cavan","2011","Number","1478"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Cavan","2016","Number","1877"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Donegal","2002","Number","2352"
"Population 15 years and over at work","Both sexes","Real estate, renting and business activities","Donegal","2006","Number","3265"
